"season","week","athlete_name","team","opponent","qbr_epa","TQBR","raw_qbr","exp_qbr"
2014,2,"Sam B. Richardson","ISU","KSU",2.99096075156908,62.4,58.6,70.6521072387695
2014,2,"Sean Mannion","ORST","HAW",0.337369020343638,71.9,74,80.2263488769531
2014,2,"Sefo Liufau","COLO","UMASS",0.274670562294703,47.8,66.1,76.4026336669922
2014,2,"Seth Russell","BAY","NWST",1.31623023481972,98.5,99.4,100.326530456543
2014,2,"Shane Carden","ECU","SC",0.126902640690852,67.4,60.1,63.2912712097168
2014,2,"Stephen Rivers","VAN","MISS",-0.498374765729498,13,4.2,13.4498796463013
2014,2,"Steven Bench","USF","MD",-0.25736075589309,39.7,34.3,31.6169509887695
2014,2,"Tanner Lee","TULN","GT",0.260488269356075,26.3,25.7,67.4736557006836
2014,2,"Tanner McEvoy","WIS","WIU",0.60947539458419,87.7,95.2,91.5925827026367
2014,2,"Taylor Heinicke","ODU","NCST",0.179881459954477,83.2,79.9,67.918830871582
2014,2,"Taylor Kelly","ASU","UNM",0.208475829288296,82.6,92.6,71.0122146606445
2014,2,"Taysom Hill","BYU","TEX",0.0156146290417152,91.1,76.1,56.4067573547363
2014,2,"Terrance Broadway","ULL","LT",-0.106179878736263,44.6,43.4,42.5466537475586
2014,2,"Tommy Armstrong Jr.","NEB","MCNS",0.239126841264629,56.1,78.1,73.9931793212891
2014,2,"Travis Wilson","UTAH","FRES",0.455017671543386,80.4,85.7,87.5214767456055
2014,2,"Trevor Knight","OKLA","TLSA",0.446649277814966,83.2,89.1,78.5758209228516
2014,2,"Trevor Siemian","NW","NIU",-0.295205330410632,35.5,41,26.3960933685303
2014,2,"Tucker Carter","UTSA","ARIZ",0.1051005025478,70.6,59.3,61.3078727722168
2014,2,"Tyler Murphy","BC","PITT",-0.00598379885426492,40.4,47.9,56.1585922241211
2014,2,"Tyrone Swoopes","TEX","BYU",-0.106124506537771,25,26.5,42.5466537475586
2014,2,"Wes Lunt","ILL","WKU",0.39385388017826,56.4,77.1,81.661018371582
2014,2,"Will Gardner","LOU","MURR",0.174978686837274,72.9,88.3,60.8527069091797
2014,3,"Andrew Hendrix","M-OH","MICH",-0.224931256112973,26.6,17.4,33.3359909057617
2014,3,"Anthony Boone","DUKE","KU",0.269743201772776,64.2,58.2,66.9678344726562
2014,3,"Anthony Jennings","LSU","ULM",0.286200109340749,43,47.9,61.1950492858887
2014,3,"Anu Solomon","ARIZ","NEV",0.836229324730273,91.8,94.6,84.8003692626953
2014,3,"Austin Grammer","MTSU","WKU",0.332555489555499,76.6,89.5,80.2263488769531
2014,3,"Blake Bogenschutz","UTSA","OKST",-0.129387827017678,31.7,20.9,38.677173614502
2014,3,"Blake Decker","UNLV","NIU",0.0553419051798997,47.8,53.6,57.2348594665527
2014,3,"Blake Frohnapfel","UMASS","VAN",0.0784499051406574,60.1,62.2,58.6470718383789
2014,3,"Blake Sims","ALA","USM",0.946312370617972,93.4,97.4,95.8945236206055
2014,3,"Bo Wallace","MISS","ULL",0.640026056087801,84.8,91.5,91.5925827026367
2014,3,"Brad Kaaya","MIAMI","ARST",0.814214129038348,92.4,90.7,82.2917022705078
2014,3,"Brandon Bridge","USA","MSST",-0.203925562389157,29.9,17.9,36.2827301025391
2014,3,"Brandon Doughty","WKU","MTSU",0.431715143628387,83.2,89.1,75.2698364257812
2014,3,"Brandon Silvers","TROY","ACU",0.640685233879596,82.5,93,91.5925827026367
2014,3,"Brian Burrell","FRES","NEB",-0.189488520474734,58.4,42.1,35.8434410095215
2014,3,"Brogan Roback","EMU","ODU",-0.79694248323056,1.2,3.2,5.74739551544189
2014,3,"Bryce Petty","BAY","BUFF",0.857911262743372,96.5,98.1,95.518798828125
2014,3,"C.J. Brown","MD","WVU",0.0348720745653586,68.4,51.7,56.5929794311523
2014,3,"Chandler Whitmer","CONN","BSU",-0.0703930545615269,30.3,21.2,45.4302177429199
2014,3,"Christian Hackenberg","PSU","RUTG",-0.167194681076469,26.8,26.8,35.5372924804688
2014,3,"Chuckie Keeton","USU","WAKE",-0.0309994908655157,33,28.2,49.6726150512695
2014,3,"Clint Trickett","WVU","MD",0.299777290720491,86.3,81.6,78.7774353027344
2014,3,"Cody Clements","UAB","AAMU",0.0754814189838326,39.4,64.5,59.4982414245605
2014,3,"Cody Fajardo","NEV","ARIZ",0.385761218414999,89.1,81.4,81.661018371582
2014,3,"Cody Kessler","USC","BC",0.193935270511267,59,54.5,70.8083190917969
2014,3,"Cody Sokol","LT","UNT",0.245571376629551,81,80.9,74.9237976074219
2014,3,"Colby Kirkegaard","WYO","ORE",0.151464997747096,56.1,42.1,66.0685119628906
2014,3,"Colin Reardon","KENT","OSU",-0.608641441502707,23.8,9.8,11.85657787323
2014,3,"Connor Halliday","WSU","PRST",0.301711421880859,61.2,81.5,68.9947128295898
2014,3,"Cooper Rush","CMU","SYR",-0.0495609724554516,17.7,15.7,42.1283264160156
2014,3,"Cyler Miles","WASH","ILL",0.322682474604334,90.7,91.9,80.2263488769531
2014,3,"Dak Prescott","MSST","USA",0.442788599575521,91.7,94.5,86.3960494995117
2014,3,"Dane Evans","TLSA","FAU",-0.282239770691338,22.3,24,26.6635799407959
2014,3,"Danny Etling","PUR","ND",0.269783174542922,62,55.4,66.9678344726562
2014,3,"Davis Webb","TTU","ARK",-0.0419571404664918,79.9,68,45.1262130737305
2014,3,"Daxx Garman","OKST","UTSA",0.56761795516004,74.9,82.9,82.2508316040039
2014,3,"Derrius Vick","OHIO","MRSH",0.133223725931855,58.1,40.8,63.2912712097168
2014,3,"Devin Gardner","MICH","M-OH",-0.0815277384799959,55.3,71.5,43.6420402526855
2014,3,"Drew Hare","NIU","UNLV",0.498866927774514,89.6,95,88.9340972900391
2014,3,"Driphus Jackson","RICE","TA&M",0.213604187902482,82.2,79.6,71.0122146606445
2014,3,"Dylan Thompson","SC","UGA",0.48833463806486,96.3,90.3,87.5214767456055
2014,3,"Everett Golson","ND","PUR",0.0615206045121711,79.9,80.5,66.7473297119141
2014,3,"Fredi Knighten","ARST","MIAMI",-0.107426326909162,32.8,19.2,41.5617218017578
2014,3,"Garrett Grayson","CSU","UCD",0.670180519999722,83,93.2,94.2937240600586
2014,3,"Gary Nova","RUTG","PSU",-0.431291745429725,47.4,28.3,19.9528179168701
2014,3,"Grant Hedrick","BSU","CONN",-0.00636821182110572,56.2,58.6,56.1585922241211
2014,3,"Greyson Lambert","UVA","LOU",0.274481600295343,55,25.9,59.3189544677734
2014,3,"Gunner Kiel","CIN","TOL",0.835680637866678,96.7,98,96.2834014892578
2014,3,"Hutson Mason","UGA","SC",0.177852924111372,65.3,57.9,67.918830871582
2014,3,"Ikaika Woolsey","HAW","UNI",-0.289134434512801,9.6,22.9,26.6635799407959
2014,3,"J.T. Barrett","OSU","KENT",0.437260545317666,57.2,71.3,86.3960494995117
2014,3,"Jacoby Brissett","NCST","USF",0.498618886903077,89.4,92.2,88.9340972900391
2014,3,"Jake Rudock","IOWA","ISU",0.312728570193926,50.2,61.7,69.0471115112305
2014,3,"Jameill Showers","UTEP","NMSU",0.611598753842324,79.1,88.9,91.5925827026367
2014,3,"James Knapke","BGSU","IND",-0.00742012997022262,68.2,70.3,55.4937210083008
2014,3,"Jaquez Johnson","FAU","TLSA",0.828167640354492,89.9,94.3,92.8307571411133
2014,3,"Jeff Driskel","FLA","UK",0.0872551851310615,57.5,55.4,50.8789749145508
2014,3,"Jerry Neuheisel","UCLA","TEX",-0.0299698108965187,79.4,56.1,41.6375427246094
2014,3,"Joe Licata","BUFF","BAY",0.0600250465945633,24.5,13.4,57.2348594665527
2014,3,"John O'Korn","HOU","BYU",0.207351890448049,52.9,51.8,59.2419586181641
2014,3,"John Wolford","WAKE","USU",-0.382511903557212,22.4,12.9,19.6468563079834
2014,3,"Josh Greer","UNT","LT",-0.575754033315039,20.1,19.4,11.85657787323
2014,3,"Justin Holman","UCF","MIZ",0.000594810448959084,75.9,48.8,54.853889465332
2014,3,"Justin Thomas","GT","GASO",0.529427651269162,92.6,95.1,90.1750793457031
2014,3,"Justin Worley","TENN","OKLA",-0.32026290647552,20.7,9.6,24.2041301727295
2014,3,"Kale Pearson","AFA","GAST",0.618151613121782,81.9,95.1,91.5925827026367
