"season","week","passer_player_name","team","opponent","qbr_epa","adj_qbr","raw_qbr","exp_qbr"
2014,2,"Garrett Grayson","CSU","BSU",0.384446524526121,76.6,64.3,77.5911844595657
2014,2,"Gary Nova","RUTG","HOW",0.686663658300335,87,94.9,88.1221145867801
2014,2,"Grant Hedrick","BSU","CSU",0.384740640467078,83,86.2,77.6057795944486
2014,2,"Greg Hankerson","FAU","ALA",-0.227479324378616,40.4,23.5,37.9390274674105
2014,2,"Ikaika Woolsey","HAW","ORST",-0.245873335549285,30.3,25.5,36.7977674862392
2014,2,"J.T. Barrett","OSU","VT",-0.459485462096845,58.8,31.4,25.4585375402016
2014,2,"Jacoby Brissett","NCST","ODU",0.531887744902632,71.4,88.7,83.8733354283671
2014,2,"Jake Coker","ALA","FAU",0.220128470737455,72.8,76.9,68.3315600190933
2014,2,"Jake Rudock","IOWA","BALL",0.214110123353051,61.9,71.2,67.9551024600695
2014,2,"Jake Waters","KSU","ISU",0.223616716484834,73.4,79.6,68.5486974439307
2014,2,"Jameill Showers","UTEP","TTU",-0.448969864497772,11.3,15.5,25.9307932637973
2014,2,"Jameis Winston","FSU","CIT",0.47733700386245,75,89.3,81.7982712029402
2014,2,"James Knapke","BGSU","VMI",0.0253824071799367,54.1,76.8,55.2347884942038
2014,2,"Jared Goff","CAL","SAC",0.353144743900337,92.7,97.3,75.9941841093484
2014,2,"JD Sprague","OHIO","UK",-0.192746239049224,44.9,39.9,40.1562225803277
2014,2,"Jeff Driskel","FLA","EMU",0.109852418029332,39.6,72.9,61.1091850128845
2014,2,"Joe Licata","BUFF","ARMY",0.391489941381334,41.6,61.6,77.9385637616447
2014,2,"John O'Korn","HOU","GRAM",0.277440748318514,27.7,51.7,71.7950283572026
2014,2,"John Wolford","WAKE","WEBB",-0.0115959992081275,44.9,69.5,52.6204866942333
2014,2,"Justin Thomas","GT","TULN",-1.01789025171285,61.3,56.8,13.844252030032
2014,2,"Justin Worley","TENN","ARST",0.195128238658786,73.4,68.8,66.7530218278618
2014,2,"Kale Pearson","AFA","WYO",-0.00795760277447056,36.4,53.1,52.8780385395026
2014,2,"Keenan Reynolds","NAVY","TEM",0.0124940047687343,94.9,93.2,54.3248211279077
2014,2,"Kenny Hill","TA&M","LAM",0.744453569823127,85.7,94.4,89.1206687701123
2014,2,"Kevin Hogan","STAN","USC",0.239430466400153,64.1,51.8,69.5231077732578
2014,2,"Kolney Cassel","SMU","UNT",0.558780458645977,14.9,14.8,84.7849028359257
2014,2,"Kyle Pohl","AKR","PSU",-0.303257745619013,41.3,21.4,33.3969313889597
2014,2,"Lamar Jordan","UNM","ASU",1.20946938261847,37.2,22.9,89.6191093772203
2014,2,"Marcus Mariota","ORE","MSU",0.278461414464723,91.1,82.2,71.8546067282232
2014,2,"Marquise Williams","UNC","SDSU",0.484987902831903,81.5,79.3,82.1074143448331
2014,2,"Matt Linehan","IDHO","ULM",0.0337733340181812,61.9,63.8,55.8260322084695
2014,2,"Maty Mauk","MIZ","TOL",0.599091312588036,74.9,81.2,86.0130678971539
2014,2,"Michael Brewer","VT","OSU",0.102960327524039,84,64.7,60.6382593554408
2014,2,"Montell Cozart","KU","SEMO",0.212006640087668,43.9,68.6,67.8229869656963
2014,2,"Neal Burcham","SMU","UNT",-0.521772985448055,5.1,5.1,22.8467956437048
2014,2,"Nick Marshall","AUB","SJSU",0.219601398375612,54.3,72.9,68.2986827750845
2014,2,"Nick Mullens","USM","ALCN",0.0452253074904875,72.9,88.3,56.6310230583514
2014,2,"Ozzie Mann","BALL","IOWA",-0.294304541451068,31.3,23.1,33.911033004093
2014,2,"P.J. Walker","TEM","NAVY",0.0567061306048652,49.5,55.6,57.4353255225084
2014,2,"Patrick Towles","UK","OHIO",0.436472864925151,51.5,68.1,80.0491092217948
2014,2,"Paxton Lynch","MEM","UCLA",0.440928563539663,80.9,68.6,80.2477481056874
